fips,pm25
37041,5.7
37043,
37045,8.1
37047,6.5
37049,5.7
37051,6.8
37053,6.0
37055,5.9
37057,8.3
37059,8.3
37061,5.9
37063,7.3
37065,6.7
37067,8.1
37069,7.3
37071,8.4
37073,6.1
37075,5.9
37077,7.3
37079,6.4
37081,6.4
37083,6.7
37085,7.5
37087,5.8
37089,6.3
37091,6.2
37093,7.3
37095,5.5
37097,8.6
37099,6.3
37101,6.6
37103,5.7
37105,7.3
37107,6.2
37109,8.4
37111,6.2
37113,6.2
37115,5.8
37117,6.1
37119,8.4
37121,5.2
37123,7.6
37125,7.5
37127,6.9
37129,4.1
37131,6.3
37133,5.7
37135,7.4
37137,5.6
37139,6.0
37141,5.7
37143,5.8
37145,7.2
37147,5.7
37149,7.1
37151,8.1
37153,7.5
37155,7.2
37157,7.6
37159,7.6
37161,7.6
37163,6.6
37165,7.2
37167,8.1
37169,7.5
37171,7.6
37173,6.1
37175,5.8
37177,5.3
37179,8.1
37181,7.0
37183,9.0
37185,6.7
37187,5.6
37189,6.0
37191,6.8
37193,7.1
37195,6.8
37197,7.9
37199,5.5
38001,4.6
38003,6.0
38005,5.7
38007,3.6
38009,5.7
38011,4.7
38013,4.9
38015,6.9
38017,6.4
38019,6.1
38021,5.9
38023,5.1
38025,3.6
38027,5.6
38029,5.4
38031,5.6
38033,4.1
38035,6.7
38037,4.8
38039,5.7
38041,4.6
38043,5.5
38045,5.8
38047,5.5
38049,5.4
38051,5.4
